TransactionID,CustomerID,Age,Quantity,Price,TotalAmount,PurchaseDate,Month,Gender_Female,Gender_Male,Gender_Other,City_Ahmedabad,City_Delhi,City_Delhi Ncr,City_Indore,City_Jaipur,City_Mumbai,City_Nashik,City_Pune,City_Rajkot,City_Surat,City_Vadodara,ProductCategory_Beauty,ProductCategory_Electronics,ProductCategory_Fashion,ProductCategory_Furniture,ProductCategory_Groceries,ProductCategory_Sports,PaymentMode_Card,PaymentMode_Cash,PaymentMode_E-wallet,PaymentMode_UPI,PaymentMode_Wallet,DayOfWeek_Friday,DayOfWeek_Monday,DayOfWeek_Saturday,DayOfWeek_Sunday,DayOfWeek_Thursday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,AgeGroup_18-25,AgeGroup_26-40,AgeGroup_41-60,AgeGroup_60+,Age_Normalized,Quantity_Normalized,Price_Normalized,TotalAmount_Normalized
T101243,C1480,40,7,2469.71,17287.97,2025-01-25,2025-01,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.4230769230769231,1.0,0.4891277746877686,0.4986036506195242
T101729,C1596,47,4,673.88,2695.52,2025-05-01,2025-05,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5576923076923077,0.5,0.12591191788441117,0.07634360467353841
T101989,C1490,63,7,822.46,5757.22,2025-12-17,2025-12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.8653846153846154,1.0,0.15596298730848965,0.16493966514815542
T100615,C1228,24,7,3292.33,23046.31,2025-01-25,2025-01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.11538461538461539,1.0,0.6555069019568185,0.6652320723699916
T101703,C1416,22,1,2259.1,2259.1,2025-08-08,2025-08,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.07692307692307693,0.0,0.4465308186276988,0.0637149693688605
T101719,C1237,60,4,4822.06,19288.24,2025-01-01,2025-01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.8076923076923077,0.5,0.9649026647115336,0.5564852333629551
T101146,C1004,35,6,436.73,2620.38,2025-03-15,2025-03,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.3269230769230769,0.8333333333333334,0.07794711027961773,0.07416928714273438
T100552,C1233,33,3,567.85,1703.55,2025-12-18,2025-12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.28846153846153844,0.3333333333333333,0.10446680487434899,0.047639082966968255
T100451,C1254,28,6,3436.92,20621.52,2025-03-26,2025-03,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.19230769230769232,0.8333333333333334,0.6847509733528846,0.5950662032521007
T101666,C1254,44,1,4281.72,4281.72,2025-12-10,2025-12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.5,0.0,0.8556161197350458,0.12224329148963323
