TransactionID,CustomerID,Gender,Age,City,ProductCategory,Quantity,Price,TotalAmount,PurchaseDate,PaymentMode
T101243,C1480,Other,40,Rajkot,Furniture,7,2469.71,17287.97,01-25-2025,upi
T101729,C1596,Male,47,Delhi,Groceries,4,673.88,2695.52,2025-05-01,Card
T100274,C1013,Other,41,Delhi,Beauty,3,4196.8,12590.4,2025/02/30,Cash
T101989,C1490,Female,63,Nashik,Groceries,7,822.46,5757.22,2025-12-17,UPI
null,C1431,Female,None,delhi,Electronics,7,3486.08,24402.56,2025-04-14,CARD
T100615,C1228,Male,24,Vadodara,Groceries,7,3292.33,23046.31,01-25-2025,UPI
T101703,C1416,Male,22,Vadodara,Sports,1,2259.1,2259.1,2025-08-08,Card
T101719,C1237,Male,60,Vadodara,Electronics,4,4822.06,19288.24,2025-01-01,Wallet
T101146,C1004,Male,35,Jaipur,Electronics,6,436.73,2620.38,2025-03-15,Wallet
T100552,C1233,Male,33,Delhi,Groceries,3,567.85,1703.55,2025-12-18,Wallet
T100451,C1254,Other,28,Mumbai,Electronics,6,3436.92,20621.52,2025-03-26,UPI
T101666,C1254,Female,44,Vadodara,Fashion,1,4281.72,4281.72,2025-12-10,Card
T100913,C1392,Male,53,Delhi,Electronics,5,3943.94,19719.7,2025-08-09,UPI
T100428,C1094,Female,18,Mumbai,Beauty,6,1296.49,7778.94,2025-03-18,UPI
T100385,C1494,Male,50,Delhi,Beauty,1,902.48,902.48,2025-09-11,UPI
T101716,C1457,Female,70,Indore,Beauty,1,607.67,607.67,2025-11-24,Wallet
T101138,C1117,Male,28,Nashik,grocery,4,4821.53,19286.12,2025-04-21,UPI
T101799,C1055,Female,60,Vadodara,Electronics,1,4876.26,4876.26,2025-05-04,Wallet
T100967,C1068,Other,56,Delhi,Furniture,2,3901.4,7802.8,2025-10-09,Card
T101658,C1160,Other,49,Pune,Beauty,7,1150.95,8056.65,2025-08-29,UPI
T100789,C1421,Female,62,Jaipur,Electronics,5,2086.16,10430.8,2025-08-13,UPI
T101355,C1045,Female,28,Surat,Groceries,3,3040.66,9121.98,2025-02-03,Cash
T101844,C1293,Other,36,Surat,Furniture,5,2745.79,13728.95,2025-10-23,Wallet
T101386,C1583,Male,54,Vadodara,Groceries,5,502.69,2513.45,2025-01-31,card
T101784,C1411,Male,60,Delhi,Groceries,2,3626.35,7252.7,2025-12-23,UPI
T100889,C1340,Other,66,Pune,grocery,6,3883.8,23302.8,2025-09-03,UPI
T101551,C1299,Other,51,Mumbai,Sports,4,2796.06,11184.24,N/A,UPI
T101604,C1170,Male,33,Jaipur,Beauty,7,1498.99,10492.93,2025-02-01,UPI
T101886,C1143,Other,64,Ahmedabad,Furniture,7,4625.87,NA,2025-01-22,Wallet
